price_open,price_high,price_low,price_close
459.07,465,444.51,454.44
452.02,459.87181,446.68,448.84
450.39,451.39,440.8,448.79
448.2,454.53,438,448
449.26,451.3155,431.83,434.85
440,455,424.5,432.77
432.7,437.15,427,430.03
430.04,430.91,357.3,360
360.62,392.5201,350.92,386.91
387.8,395,372,380.16
378.47,391.82,370.1,384.89
384.79,390.97,370,376.76
375.28,425.1272,369,418.54
418.89,425.78,403.21,409.59
409.42,413.99,373.86,382.55
382.93,398.72,381.05,386.4
386.37,406.93,385.36,402.16
402.16,403.04,385.5,391.4
391.4,406.69999,386.2,391.54
391.7,397.18,390.31,394.95
394.6,395.56,376,379.75
379.63,385.05,363.25,378.22
378.68,382.04,372.95,378.46
378.46,382.5,364.7,367.95
367.89,379,366.26,371.33
371.33,375,369.73,372.93
372.93,374,365,368.87
368.87,391.88,367.95,387.82
387.99,390.51,382.47764,384.5
384.44,384.98,367.70524,375.7
375.44,381.22988,371.5501,377.49
377.47,379.35,369.99,370.91
370.95,381.39723,369.12,373.2
372.76,384.75592,371.70825,379.66
378.49,383.95,361.1,378.23
378.23,383.48999,375.76,383.27
382.05,395.59,380.91001,391
391,407.34542,388.7201,405
406.62,409.71,392,398.95
398.94,408.6,390.10001,405.5
407.41,421.7991,403.01282,415.54
415.18,424.9,411.46001,421.18
421.18,422,413.1337,420.72
420.72,444.03,418.21018,434.63
434.63,448.7,422.49602,438.5
438.33,439.5,422,433.5111
437.45,440.9,414,419.1
419.1,425.6,409.07,423.94
423.87,426.75,415.79,423.51
423.51,433,417.64758,432
430.84,435.99809,428.22,433.12
433.09,436.07,421.07001,433.73
433.73,442,428.12,436.44
436.41,437.78,427.01,433.08
433.03,435.36,418.36,423.45
422.4,424.47,408.63,420.29
418.76,423.9,405.5,407.35
407.38,408.98,381.09,396.08
396.13,412.31,385.01,400.649
403.24,418.74,395,412.21
412.21,416.33,407.4,411.18
411.18,414.735,406.45,412.8
412.64,429.702,409.31,416
416,423.65,414.97,419.39
419.48,421.3,406.15,410.9
410.56,417,406.66,413.04
412.51,416.966,407.74,414.99
415.02,417.43,412.15,415.41
415.41,419.04,412.871,416.57
416.06,422.69,415.66,418.41
418.47,420.996,399.21,407.91
409.66,411.443,404.1,409.04
408.36,415.34,406.6,411.28
411.25,414.359,406.5,411.67
411.98,417.9,410.35,416.64
416.39,419,411.89,417.62
417.62,418.15,410,412.95
412.86,419.759,411,416.41
416.42,418.4,414,416.97
416.96,429.999,415.77,425.3
425.29,426.39,419.63,423
422.87,428.109,405,416.39
416.4,416.41,407.56,413.74
412.97,419.988,411.4,414.66
416.03,419.039,413.42,416.31
416.31,423.17,416.01,419
419.95,421.66,416.1,419.11
418.51,421.6,416,418.75
419.48,424.97,418.01,422.71
422.4,424.611,420,421.46
421.36,424.39,418.09,420
421.99,425.96,415.71,417.75
417.75,420.75,412,418.24
418.59,423.99,416.96,420.04
420.4,424.5,418,422.69
423.95,430.358,421,425.54
427.91,429.44,422,423.93
423.6,428,420.57,426.3
426.4,431.1,423.07,429.45
430.82,434.89,427.12,430.69
433.69,434.93,424.24,431
426.77,434.46,425.8,427.42
430.9,438.2,426.24,435.63
437.06,444.07,433.11,440.965
442.84,453.8,440,451
452.25,452.95,442.7,448.41
448.57,455.84,443.216,455.69
455.68,470.02,445.4,464.46
464.47,472.38,452.5,461.882
466.17,472.11,462.085,470.59
470.3,470.79,440.94,445.31
445.39,452.005,434.79,449.14
451.63,459.44,445.62,456.53
458.85,459.33,446.44,454.02
454.02,457.07,446.84,456.98
456.99,457.63,438.59,446.43
446.54,453.29,440.78,452.22
451.52,453.23,444.15,446.63
448.58,451.56,445.11,448.5
449.99,463.97,447.03,462.31
462.31,464,455.95,461.87
458.97,465,455.948,462.79
462.6,465.9,455.62,461.99
464.15,465,447.38,451.62
450.88,458.65,450.32,454.37
452.95,456.57,448.88,455.2
